# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
9.737827052518572835e-01,9.890919378855230759e-01,9.814998129505095870e-01,9.020660519449643644e-01,9.770110991197925587e-01,9.752751383387863182e-01,6.186528082932216677e-01,9.822355294615545684e-01,1.000000000000000000e+00,9.496319608891612418e-01,1.110223024625156540e-16,9.785553977659741109e-01,9.703022059111821029e-01,9.809841424357423900e-01,9.768809219897257590e-01,9.327763296345323862e-01,8.967337888414885771e-01,9.896780002926433006e-01,8.792055915043929248e-01,9.748208584309049352e-01
8.951935560488231136e-01,9.140833897513196415e-01,7.064886323798166279e-01,9.957222409981282274e-01,9.138342884110040032e-01,9.490998441763676130e-01,1.000000000000000000e+00,9.769825015269283375e-01,9.831932228826824050e-01,8.892900905317867588e-01,9.785553977659741109e-01,0.000000000000000000e+00,9.563058470396997857e-01,8.517616332309018157e-01,7.894751658121477167e-01,9.239067741686413093e-01,9.324546459101734630e-01,9.391887969435024353e-01,9.735790565019719622e-01,9.129279129288896399e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.954142836262848126e-01,1.000000000000000000e+00,9.770851456826248338e-01,8.278430804072449689e-01,9.569980222391150093e-01,9.946502431678450051e-01,1.000000000000000000e+00,9.785958601064302931e-01,9.703022059111821029e-01,9.563058470396997857e-01,0.000000000000000000e+00,9.575639766712029655e-01,9.756183244120139042e-01,1.000000000000000000e+00,9.264716386517978242e-01,1.000000000000000000e+00,9.663404030453351945e-01,1.000000000000000000e+00
8.609286288246036367e-01,8.545665189683819829e-01,8.961996368903881738e-01,8.861274969927026568e-01,8.831407520719578574e-01,9.805524683982296263e-01,9.598924695414167152e-01,9.312198303942895716e-01,1.000000000000000000e+00,9.703312476638630280e-01,9.809841424357423900e-01,8.517616332309018157e-01,9.575639766712029655e-01,4.364810980264723916e-01,6.040220258236310702e-01,9.418710695860241788e-01,9.824087900959685982e-01,8.741068368320518145e-01,9.738421406177026896e-01,5.371619399134233142e-01
8.936599022135329751e-01,9.553549231407298947e-01,9.209358695464306965e-01,9.829306561613416759e-01,8.684173040374254526e-01,9.605842285416519299e-01,9.777979439465070977e-01,9.951000195268862036e-01,1.000000000000000000e+00,9.524253013784462762e-01,9.768809219897257590e-01,7.894751658121477167e-01,9.756183244120139042e-01,6.040220258236310702e-01,0.000000000000000000e+00,9.842654063391185204e-01,9.776693447691454653e-01,9.314002338179975249e-01,9.697437765967337198e-01,9.432988138809494938e-01
9.992883057602880426e-01,9.640757389415175460e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.697288812461752006e-01,9.444409351331454205e-01,1.000000000000000000e+00,9.327763296345323862e-01,9.239067741686413093e-01,1.000000000000000000e+00,9.418710695860241788e-01,9.842654063391185204e-01,0.000000000000000000e+00,9.686185508608334827e-01,8.613152410939673986e-01,1.000000000000000000e+00,9.868058037058395904e-01
9.225439326009934327e-01,9.555343644003072567e-01,9.767797099670523231e-01,8.761555616357671328e-01,9.748394472395873755e-01,8.343630174356767570e-01,8.509030486994886289e-01,9.422454138843272542e-01,9.477026288241943153e-01,9.293749633142333044e-01,8.967337888414885771e-01,9.324546459101734630e-01,9.264716386517978242e-01,9.824087900959685982e-01,9.776693447691454653e-01,9.686185508608334827e-01,-2.220446049250313081e-16,9.787501325717276046e-01,8.795062764684945522e-01,9.889558346557139057e-01
8.830322376386812167e-01,9.591194795964741449e-01,7.715130448007710973e-01,9.600956094044187372e-01,8.436918058749720561e-01,9.484711435778250266e-01,9.686374215908969409e-01,9.796760632382388589e-01,9.883259351077244848e-01,1.000000000000000000e+00,9.896780002926433006e-01,9.391887969435024353e-01,1.000000000000000000e+00,8.741068368320518145e-01,9.314002338179975249e-01,8.613152410939673986e-01,9.787501325717276046e-01,-2.220446049250313081e-16,9.995001718235706489e-01,8.188575000948062899e-01
9.861522875307572322e-01,1.000000000000000000e+00,9.782772985222139006e-01,9.558058679597892793e-01,9.197561253676210802e-01,9.644238479738229675e-01,5.877072147551551939e-01,9.781997936100776947e-01,1.000000000000000000e+00,9.626156937212170250e-01,8.792055915043929248e-01,9.735790565019719622e-01,9.663404030453351945e-01,9.738421406177026896e-01,9.697437765967337198e-01,1.000000000000000000e+00,8.795062764684945522e-01,9.995001718235706489e-01,0.000000000000000000e+00,9.914628404737584333e-01
7.348000376969900937e-01,9.722885998615236058e-01,8.826157780448260493e-01,9.770353502401822876e-01,9.664741591057516290e-01,9.583490248482754437e-01,9.628983089573329712e-01,9.889369134012704343e-01,9.956209127457285035e-01,8.215631248139052545e-01,9.748208584309049352e-01,9.129279129288896399e-01,1.000000000000000000e+00,5.371619399134233142e-01,9.432988138809494938e-01,9.868058037058395904e-01,9.889558346557139057e-01,8.188575000948062899e-01,9.914628404737584333e-01,2.220446049250313081e-16
