# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
9.142269132951604815e-01,8.931123719507911840e-01,1.000000000000000000e+00,8.123357153610047954e-01,9.178297533825707788e-01,9.504891104743894426e-01,3.951652326452408381e-01,8.772685084188722726e-01,8.479515150549781222e-01,8.219339429177929812e-01,1.110223024625156540e-16,8.838665880893349369e-01,8.227703850612066994e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.403385367983770005e-01,9.361520568019479072e-01,8.625716313099407451e-01,9.868820217302615161e-01
9.049560531590037371e-01,9.578940697210464039e-01,9.647556135112242970e-01,8.188576070831281584e-01,9.631102848218999757e-01,1.000000000000000000e+00,8.765228080062626992e-01,8.986037543727333210e-01,9.200136079952272450e-01,8.837968454785789518e-01,8.838665880893349369e-01,-2.220446049250313081e-16,8.732974054162762068e-01,9.985290631192054178e-01,9.000066667021917599e-01,9.121946375729516054e-01,7.536508400227009963e-01,9.007221065818770134e-01,4.872666842112596264e-01,9.406313910846986204e-01
8.956066848471851971e-01,8.967486214583924031e-01,8.036058805458650145e-01,3.377467249792862614e-01,9.317780976704084228e-01,9.194635822391279412e-01,8.427673225610048391e-01,8.854069446794471387e-01,8.898476091292871759e-01,7.488682880916552875e-01,8.227703850612066994e-01,8.732974054162762068e-01,1.110223024625156540e-16,9.392072444240227025e-01,1.000000000000000000e+00,9.439478019055256297e-01,8.212155712069044711e-01,8.890409218651978973e-01,9.813912223122884804e-01,9.581196760699295378e-01
7.629391414599384635e-01,9.982555091685610948e-01,1.000000000000000000e+00,9.279610729922165291e-01,9.403001026629993486e-01,1.000000000000000000e+00,9.602218901283873231e-01,7.543219855344651670e-01,7.746560354054511377e-01,8.436083205735749324e-01,1.000000000000000000e+00,9.985290631192054178e-01,9.392072444240227025e-01,0.000000000000000000e+00,3.638252929672911584e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.783025398089591373e-01,1.000000000000000000e+00,9.057515823658373044e-01
4.775233040762244530e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.928634690849849065e-01,1.000000000000000000e+00,9.646035826058574347e-01,8.508283941065245548e-01,8.749031049490209044e-01,9.231043388402151439e-01,1.000000000000000000e+00,9.000066667021917599e-01,1.000000000000000000e+00,3.638252929672911584e-01,0.000000000000000000e+00,5.883688811387768336e-01,1.000000000000000000e+00,4.844218428291051648e-01,1.000000000000000000e+00,9.499835912106838753e-01
5.589237792867218779e-01,9.418733726280088536e-01,1.000000000000000000e+00,9.006136790544376769e-01,7.673579750050598669e-01,8.645953647977916434e-01,1.000000000000000000e+00,5.704947968174217676e-01,8.864952174704756604e-01,8.050633991835314252e-01,1.000000000000000000e+00,9.121946375729516054e-01,9.439478019055256297e-01,1.000000000000000000e+00,5.883688811387768336e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.564921933629168649e-01,8.702618932276455777e-01,7.631884199743718122e-01
9.094092898696121141e-01,8.533253627270165342e-01,1.000000000000000000e+00,8.089760353457329245e-01,9.164779417286000873e-01,9.922679230468032241e-01,8.188728298354517321e-01,9.016744448033635617e-01,7.414108270636712295e-01,8.087640355661771530e-01,8.403385367983770005e-01,7.536508400227009963e-01,8.212155712069044711e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.996836797930451990e-01,1.000000000000000000e+00,9.477004031822983121e-01
1.437230872100905277e-01,9.303442583107058850e-01,8.780802254219687297e-01,8.911638687241377754e-01,7.885319230278817759e-01,8.485287104305747619e-01,1.000000000000000000e+00,1.870243324904681259e-01,9.006090816905696350e-01,8.324195614084213268e-01,9.361520568019479072e-01,9.007221065818770134e-01,8.890409218651978973e-01,7.783025398089591373e-01,4.844218428291051648e-01,6.564921933629168649e-01,8.996836797930451990e-01,0.000000000000000000e+00,9.103323738860666925e-01,4.825488471115106925e-01
9.303555192432069187e-01,9.974807386877749815e-01,1.000000000000000000e+00,9.318580873028858846e-01,9.471842840390156670e-01,9.654378448233286170e-01,8.510207406699512589e-01,9.179260212624416049e-01,9.900326134491025387e-01,9.484937012086209762e-01,8.625716313099407451e-01,4.872666842112596264e-01,9.813912223122884804e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.702618932276455777e-01,1.000000000000000000e+00,9.103323738860666925e-01,2.220446049250313081e-16,8.309334193435298221e-01
4.883550290830037666e-01,9.728630803252251713e-01,7.234930498860721038e-01,9.049590020224377307e-01,7.485229375339281788e-01,9.570412124516018970e-01,9.752480309019913030e-01,5.614391122156032754e-01,9.497514147563981268e-01,8.564119297919569052e-01,9.868820217302615161e-01,9.406313910846986204e-01,9.581196760699295378e-01,9.057515823658373044e-01,9.499835912106838753e-01,7.631884199743718122e-01,9.477004031822983121e-01,4.825488471115106925e-01,8.309334193435298221e-01,3.778105913396429538e-01
